key,text
class.sexton.name,Sexton
biome.catacombs.name,Catacombs
card.strike.name,Strike
card.strike.text,Deal {0} damage.
card.brace.name,Brace
card.brace.text,Gain {0} Block.
card.last_rites.name,Last Rites
card.last_rites.text,Deal {0} damage. Apply {1} Weak.
card.shovel_swing.name,Shovel Swing
card.shovel_swing.text,Deal {0} damage.
card.bone_wall.name,Bone Wall
card.bone_wall.text,Gain {0} Block.
card.grave_dust.name,Grave Dust
card.grave_dust.text,Apply {0} Vulnerable. Draw {1} card.
card.reaping.name,Reaping
card.reaping.text,Deal {0} damage {1} times.
card.vigil.name,Vigil
card.vigil.text,At the start of each turn gain {0} Block.
card.censer_smoke.name,Censer Smoke
card.censer_smoke.text,Gain {0} Block. Apply {1} Weak to all enemies.
card.exhume.name,Exhume
card.exhume.text,Draw {0} cards. Exhaust.
card.lantern_oil.name,Lantern Oil
card.lantern_oil.text,Gain {0} Energy. Draw {1} card. Exhaust.
card.bone_shard.name,Bone Shard
card.bone_shard.text,Deal {0} damage.
card.sanctify.name,Sanctify
card.sanctify.text,Gain {0} Block. Heal {1}.
card.hallowed_strike.name,Hallowed Strike
card.hallowed_strike.text,Deal {0} damage. Holy: 50% more against the undead.
card.bulwark.name,Bulwark
card.bulwark.text,Gain {0} Thorns.
card.requiem.name,Requiem
card.requiem.text,Deal {0} damage to all enemies.
card.second_wind.name,Second Wind
card.second_wind.text,Heal {0}. Exhaust.
card.dig_in.name,Dig In
card.dig_in.text,Gain {0} Block. Gain {1} Wit this fight.
card.sharpen_spade.name,Sharpen Spade
card.sharpen_spade.text,Gain {0} Might this fight. Exhaust.
card.tolling_bell.name,Tolling Bell
card.tolling_bell.text,Apply {0} Vulnerable to all enemies.
card.rat_swarm.name,Rat Swarm
card.rat_swarm.text,Deal {0} damage {1} times.
card.cold_iron.name,Cold Iron
card.cold_iron.text,Deal {0} damage. Apply {1} Weak.
card.shroud.name,Shroud
card.shroud.text,Gain {0} Block. Retain.
card.grave_moss.name,Grave Moss
card.grave_moss.text,Gain {0} Regen.
card.tomb_lantern.name,Tomb Lantern
card.tomb_lantern.text,Draw {0} cards.
card.bone_spear.name,Bone Spear
card.bone_spear.text,Deal {0} damage.
card.plague_vial.name,Plague Vial
card.plague_vial.text,Apply {0} Poison.
card.death_knell.name,Death Knell
card.death_knell.text,At the start of each turn deal {0} damage to all enemies.
card.cairn.name,Cairn
card.cairn.text,Gain {0} Block. Gain {1} Thorns.
card.ashes.name,Ashes
card.ashes.text,Deal {0} damage to all enemies. Apply {1} Burn to all enemies.
enemy.bone_rat.name,Bone Rat
enemy.shambler.name,Shambler
enemy.grave_wisp.name,Grave Wisp
enemy.skull_stack.name,Skull Stack
enemy.bone_archer.name,Bone Archer
enemy.crypt_spider.name,Crypt Spider
enemy.hollow_knight.name,Hollow Knight
enemy.plague_bearer.name,Plague Bearer
enemy.ossuary_warden.name,Ossuary Warden
enemy.mother_of_bones.name,Mother of Bones
relic.sextons_lantern.name,Sexton's Lantern
relic.sextons_lantern.text,Start each fight with 3 Block.
relic.bone_charm.name,Bone Charm
relic.bone_charm.text,Start each fight with 1 Might.
relic.cracked_hourglass.name,Cracked Hourglass
relic.cracked_hourglass.text,Draw 1 extra card at the start of each fight.
relic.ossuary_key.name,Ossuary Key
relic.ossuary_key.text,Heal 4 after each fight.
relic.lead_censer.name,Lead Censer
relic.lead_censer.text,Enemies start each fight with 1 Weak.
relic.grave_coin.name,Grave Coin
relic.grave_coin.text,Gain 10 Coin after each fight.
event.whispering_well.name,Whispering Well
event.whispering_well.text,A well breathes cold air. Something below knows your name.
event.whispering_well.drink,Drink from the well.
event.whispering_well.offer,Offer blood for lasting insight.
event.whispering_well.leave,Walk on.
event.collapsed_crypt.name,Collapsed Crypt
event.collapsed_crypt.text,Fallen stone blocks a side passage. Bones glint in the rubble.
event.collapsed_crypt.dig,Dig out the Bone Spear.
event.collapsed_crypt.pray,Say the rites.
event.collapsed_crypt.leave,Leave it buried.
event.lost_lantern.name,Lost Lantern
event.lost_lantern.text,A lantern still burns beside a dead gravedigger. Its glass is cracked.
event.lost_lantern.take,Keep the Cracked Hourglass.
event.lost_lantern.sell,Sell the brass for a later shop.
upgrade.might.name,Grave Strength
upgrade.might.text,Your heroes gain +1 Might.
upgrade.wit.name,Old Rites
upgrade.wit.text,Your heroes gain +1 Wit.
upgrade.vigor.name,Hardy Stock
upgrade.vigor.text,Your heroes gain +1 Vigor.
upgrade.focus.name,Lantern Discipline
upgrade.focus.text,Your heroes gain +1 Focus.
upgrade.resolve.name,Second Thoughts
upgrade.resolve.text,+1 max Resolve. Retreat twice per hero.
upgrade.mend_discount.name,Guild Surgeon
upgrade.mend_discount.text,Mend costs 15% less per level.
upgrade.ghost_strength.name,Restless Vigour
upgrade.ghost_strength.text,All ghosts are 10% stronger per level.
upgrade.ghost_spawn.name,Deeper Burrows
upgrade.ghost_spawn.text,Every floor spawns 10% more per level.
upgrade.offline_cap.name,Night Watch
upgrade.offline_cap.text,Ghosts keep farming for 24 hours while you are away.
upgrade.restless_relief.name,Kind Words
upgrade.restless_relief.text,Restless ghosts lose 10% less per level.
epitaph.watch,{name} took the watch on Floor {floor}
epitaph.death,{name} fell to {killer} on Floor {floor}
epitaph.death_unknown,{name} fell on Floor {floor}
epitaph.founder,{name} founded the guild and holds Floor {floor}
ghost.founder.name,Ilse
ui.soul,Soul
ui.per_hour,per hour
ui.reach,reach
ui.farmed,farmed
ui.guild,Guild
ui.maxed,Maxed
ui.group.hero,Hero
ui.group.ghosts,Ghosts
ui.group.descent,Descent
ui.group.seance,Séance
ui.seance,Séance
ui.seance.rites,Rites
ui.seance.dead,Your Dead
ui.echo,Echo
ui.call,Call
ui.tend,Tend
ui.mend,Mend
ui.free,Free
ui.restless,Restless
ui.floor_short,Fl
ui.strength,str
ui.hero,Hero
ui.hp,HP
ui.resolve,Resolve
ui.camp,camp
ui.deck,Deck
ui.relics,Relics
ui.none,None
ui.upgraded,+
stat.might.name,Might
stat.wit.name,Wit
stat.vigor.name,Vigor
stat.focus.name,Focus
ui.offline.title,While you were away
ui.offline.away,Away for {duration}
ui.offline.capped,Your ghosts stopped at the offline cap.
ui.offline.dismiss,Good
ui.ladder,Ladder
ui.premise,{name} still fights on Floor {floor}. Every kill becomes your Soul.
